sourceCode,sourceName,sourceFrequency
MEASUREMENT_g/dL,g/dL,9761
MEASUREMENT_x10³/µl,x10³/µl,9626
MEASUREMENT_x10^3/µL,x10^3/µL,8694
MEASUREMENT_mg/L,mg/L,8565
MEASUREMENT_ml/min,ml/min,8499
MEASUREMENT_kg,kg,7578
MEASUREMENT_U/L,U/L,6025
MEASUREMENT_mmol/L,mmol/L,5788
MEASUREMENT_g/dl,g/dl,2819
MEASUREMENT_cm,cm,1736
MEASUREMENT_mg/dl,mg/dl,1332
MEASUREMENT_kg/m2,kg/m2,1316
MEASUREMENT_µg/L,µg/L,226
