sourceCode,sourceName,sourceFrequency,conceptId,sourceAutoAssignedConceptIds,conceptName,domainId,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,mappingType,comment,createdBy,createdOn,assignedReviewer,ADD_INFO:approvedBy,ADD_INFO:approvedOn,ADD_INFO:numberOfConcepts,ADD_INFO:customConcept,ADD_INFO:lastAthenaFilter
QUESTIONNAIRES_CS00188894,Gewicht,117,4099154,19041381,Body weight,,0,APPROVED,EQUAL,Peter,1693488876116,,,Peter,1693488858301,,PJ,1693489196122,1,,weight
QUESTIONNAIRES_CS00231351,Lengte (ophalen),22,3023540,4256604,Body height Measured,,0,APPROVED,EQUAL,Peter,1693489054842,,,Peter,1693488858663,,PJ,1693489196122,1,,3023540
QUESTIONNAIRES_CS00231352,Lengte (ophalen datum),22,,,,,,,,,,,,,,,,,,,
QUESTIONNAIRES_CS00231354,Gewicht (ophalen datum),22,,,,,,,,,,,,,,,,,,,
QUESTIONNAIRES_CS00231353,Gewicht (ophalen),22,4099154,19041381,Body weight,,0,APPROVED,EQUAL,Peter,1693489096484,,,Peter,1693488859534,,PJ,1693489196122,1,,4099154
QUESTIONNAIRES_CS00000107,Gewicht,13,4099154,19041381,Body weight,,0,APPROVED,EQUAL,Peter,1693489122998,,,Peter,1693488860153,,PJ,1693489196122,1,,4099154
QUESTIONNAIRES_CS00000133,Lengte (cm),12,3023540,35101986,Body height Measured,,0,APPROVED,EQUAL,Peter,1693489075787,,,Peter,1693488860373,,PJ,1693489196122,1,,3023540
QUESTIONNAIRES_CS00017042,Lengte,1,3023540,4256604,Body height Measured,,0,APPROVED,EQUAL,Stijn,1693488901463,,,Stijn,1693488861217,,Stijner,1693489196122,,,Lengte
QUESTIONNAIRES_CS00017044,Gewicht,9,4099154,19041381,Body weight,,0,APPROVED,EQUAL,Peter,1693489135474,,,Peter,1693488860958,,PJ,1693489196122,1,,4099154
